index_id,date_anio,date,day_week,close,open,high,low,adj_close,volume,month_01,month_02,month_03,month_04,month_05,month_06,month_07,month_08,month_09,month_10,month_11,month_12
05835,1953,1953-05-13,2,24.71,24.71,24.71,24.71,24.71,1120000,0,0,0,0,1,0,0,0,0,0,0,0
05836,1953,1953-05-14,3,24.85,24.85,24.85,24.85,24.85,1210000,0,0,0,0,1,0,0,0,0,0,0,0
05837,1953,1953-05-15,4,24.84,24.84,24.84,24.84,24.84,1200000,0,0,0,0,1,0,0,0,0,0,0,0
05838,1953,1953-05-18,0,24.75,24.75,24.75,24.75,24.75,1080000,0,0,0,0,1,0,0,0,0,0,0,0
05839,1953,1953-05-19,1,24.7,24.7,24.7,24.7,24.7,1120000,0,0,0,0,1,0,0,0,0,0,0,0
05840,1953,1953-05-20,2,24.93,24.93,24.93,24.93,24.93,1690000,0,0,0,0,1,0,0,0,0,0,0,0
05841,1953,1953-05-21,3,25.06,25.06,25.06,25.06,25.06,1590000,0,0,0,0,1,0,0,0,0,0,0,0
05842,1953,1953-05-22,4,25.03,25.03,25.03,25.03,25.03,1350000,0,0,0,0,1,0,0,0,0,0,0,0
05843,1953,1953-05-25,0,24.99,24.99,24.99,24.99,24.99,1180000,0,0,0,0,1,0,0,0,0,0,0,0
05844,1953,1953-05-26,1,24.87,24.87,24.87,24.87,24.87,1160000,0,0,0,0,1,0,0,0,0,0,0,0
05845,1953,1953-05-27,2,24.64,24.64,24.64,24.64,24.64,1330000,0,0,0,0,1,0,0,0,0,0,0,0
05846,1953,1953-05-28,3,24.46,24.46,24.46,24.46,24.46,1240000,0,0,0,0,1,0,0,0,0,0,0,0
05847,1953,1953-05-29,4,24.54,24.54,24.54,24.54,24.54,920000,0,0,0,0,1,0,0,0,0,0,0,0
05848,1953,1953-06-01,0,24.15,24.15,24.15,24.15,24.15,1490000,0,0,0,0,0,1,0,0,0,0,0,0
05849,1953,1953-06-02,1,24.22,24.22,24.22,24.22,24.22,1450000,0,0,0,0,0,1,0,0,0,0,0,0
05850,1953,1953-06-03,2,24.18,24.18,24.18,24.18,24.18,1050000,0,0,0,0,0,1,0,0,0,0,0,0
05851,1953,1953-06-04,3,24.03,24.03,24.03,24.03,24.03,1400000,0,0,0,0,0,1,0,0,0,0,0,0
05852,1953,1953-06-05,4,24.09,24.09,24.09,24.09,24.09,1160000,0,0,0,0,0,1,0,0,0,0,0,0
05853,1953,1953-06-08,0,24.01,24.01,24.01,24.01,24.01,1000000,0,0,0,0,0,1,0,0,0,0,0,0
05854,1953,1953-06-09,1,23.6,23.6,23.6,23.6,23.6,2200000,0,0,0,0,0,1,0,0,0,0,0,0
05855,1953,1953-06-10,2,23.54,23.54,23.54,23.54,23.54,1960000,0,0,0,0,0,1,0,0,0,0,0,0
05856,1953,1953-06-11,3,23.75,23.75,23.75,23.75,23.75,1220000,0,0,0,0,0,1,0,0,0,0,0,0
05857,1953,1953-06-12,4,23.82,23.82,23.82,23.82,23.82,920000,0,0,0,0,0,1,0,0,0,0,0,0
05858,1953,1953-06-15,0,23.62,23.62,23.62,23.62,23.62,1090000,0,0,0,0,0,1,0,0,0,0,0,0
05859,1953,1953-06-16,1,23.55,23.55,23.55,23.55,23.55,1370000,0,0,0,0,0,1,0,0,0,0,0,0
05860,1953,1953-06-17,2,23.85,23.85,23.85,23.85,23.85,1150000,0,0,0,0,0,1,0,0,0,0,0,0
05861,1953,1953-06-18,3,23.84,23.84,23.84,23.84,23.84,1010000,0,0,0,0,0,1,0,0,0,0,0,0
05862,1953,1953-06-19,4,23.84,23.84,23.84,23.84,23.84,890000,0,0,0,0,0,1,0,0,0,0,0,0
05863,1953,1953-06-22,0,23.96,23.96,23.96,23.96,23.96,1030000,0,0,0,0,0,1,0,0,0,0,0,0
05864,1953,1953-06-23,1,24.12,24.12,24.12,24.12,24.12,1050000,0,0,0,0,0,1,0,0,0,0,0,0
05865,1953,1953-06-24,2,24.09,24.09,24.09,24.09,24.09,1030000,0,0,0,0,0,1,0,0,0,0,0,0
05866,1953,1953-06-25,3,24.19,24.19,24.19,24.19,24.19,1160000,0,0,0,0,0,1,0,0,0,0,0,0
05867,1953,1953-06-26,4,24.21,24.21,24.21,24.21,24.21,830000,0,0,0,0,0,1,0,0,0,0,0,0
05868,1953,1953-06-29,0,24.14,24.14,24.14,24.14,24.14,800000,0,0,0,0,0,1,0,0,0,0,0,0
05869,1953,1953-06-30,1,24.14,24.14,24.14,24.14,24.14,820000,0,0,0,0,0,1,0,0,0,0,0,0
05870,1953,1953-07-01,2,24.24,24.24,24.24,24.24,24.24,910000,0,0,0,0,0,0,1,0,0,0,0,0
05871,1953,1953-07-02,3,24.31,24.31,24.31,24.31,24.31,1030000,0,0,0,0,0,0,1,0,0,0,0,0
05872,1953,1953-07-03,4,24.36,24.36,24.36,24.36,24.36,830000,0,0,0,0,0,0,1,0,0,0,0,0
05873,1953,1953-07-06,0,24.38,24.38,24.38,24.38,24.38,820000,0,0,0,0,0,0,1,0,0,0,0,0
05874,1953,1953-07-07,1,24.51,24.51,24.51,24.51,24.51,1030000,0,0,0,0,0,0,1,0,0,0,0,0
05875,1953,1953-07-08,2,24.5,24.5,24.5,24.5,24.5,950000,0,0,0,0,0,0,1,0,0,0,0,0
05876,1953,1953-07-09,3,24.43,24.43,24.43,24.43,24.43,910000,0,0,0,0,0,0,1,0,0,0,0,0
05877,1953,1953-07-10,4,24.41,24.41,24.41,24.41,24.41,860000,0,0,0,0,0,0,1,0,0,0,0,0
05878,1953,1953-07-13,0,24.17,24.17,24.17,24.17,24.17,1120000,0,0,0,0,0,0,1,0,0,0,0,0
05879,1953,1953-07-14,1,24.08,24.08,24.08,24.08,24.08,1030000,0,0,0,0,0,0,1,0,0,0,0,0
05880,1953,1953-07-15,2,24.15,24.15,24.15,24.15,24.15,840000,0,0,0,0,0,0,1,0,0,0,0,0
